,Image,Accuracy,F1,Jaccard,Recall,Precision
251,pexels-photo-373918_0,0.9891166687011719,0.9816797128344753,0.9640186149752179,0.9909767417740556,0.97255550607545
252,pexels-photo-373964_0,0.9809951782226562,0.9750967238845512,0.9514036559433465,0.9687242389631028,0.9815536032364218
253,pexels-photo-373992_0,0.9576492309570312,0.9639655429836349,0.9304377247835186,0.9968315342892433,0.9331975918454558
254,pexels-photo-374049_0,0.9953994750976562,0.9890750973820092,0.9783863220903976,0.9920767609217126,0.9860915429355875
255,pexels-photo-374101_0,0.9818954467773438,0.9760264285136991,0.9531754096905,0.9874891398783666,0.9648267803820918
256,pexels-photo-374643_0,0.9910850524902344,0.9954161280895042,0.9908740881898127,0.999747843868075,0.9911217873603625
257,pexels-photo-374680_FQUdE7s7a3_0,0.9921188354492188,0.9926579813357784,0.985422987370352,0.9923617476321418,0.9929543919519391
258,pexels-photo-374810_0,0.9911956787109375,0.9929142029092294,0.9859281163308234,0.9979203179383377,0.9879580640037147
259,pexels-photo-374845_0,0.94708251953125,0.9450731328745535,0.8958660190822217,0.9607383793009064,0.9299105473133026
260,pexels-photo-375801_0,0.9975547790527344,0.975125150374481,0.9514577811435062,0.9637186469279743,0.9868049010367578
261,pexels-photo-377719_0,0.9768218994140625,0.9882750688907243,0.9768218994140625,1.0,0.9768218994140625
262,pexels-photo-378152_0,0.990203857421875,0.9671854634669939,0.9364560908618513,0.9798311930405965,0.9548619871827219
263,pexels-photo-378154_XQflMQUWyS_0,0.9897422790527344,0.9918572151009445,0.983845969001562,0.9872859898721967,0.9964709676241702
264,pexels-photo-379964_0,0.9986686706542969,0.8386500231160425,0.7221337579617835,0.7998236331569665,0.8814382896015549
265,pexels-photo-388517_0,0.9873046875,0.9912571521644328,0.982665854128579,0.9936377856544707,0.9888878988169806
266,pexels-photo-397219_0,0.9862747192382812,0.9801782743309204,0.9611270770759955,0.997320597764549,0.963615290460252
267,pexels-photo-398078_0,0.9958305358886719,0.9936256699461711,0.9873320893360068,0.996817224432483,0.9904544873210943
268,pexels-photo-398533_0,0.9892349243164062,0.9864485891550298,0.9732595491457648,0.9977269415707417,0.9754223686834633
269,pexels-photo-401685_0,0.9898910522460938,0.9935837526088704,0.9872493167558413,0.9983748223982561,0.9888384466356303
270,pexels-photo-402765_0,0.9952316284179688,0.9902232233641497,0.9806357665138183,0.9994789610799716,0.9811373393883972
271,pexels-photo-403638_ccIw1ZVpaQ_0,0.9945297241210938,0.9902221494906516,0.9806336601571995,0.9950256937307297,0.9854647612067913
272,pexels-photo-409165_0,0.9147987365722656,0.8805851248683415,0.786647689280324,0.8477034566528729,0.9161206349912672
273,pexels-photo-413744_0,0.9966773986816406,0.9382925965285157,0.8837581742960096,0.9445157609470831,0.9321509009009009
